cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,status_counts,n_resolved_tracks,best_resolution_score
24,375.0,3,1,17.19,1,"{""CONFIRMED"": 1}",1,-0.1251
25,390.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1123
26,405.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.173
27,420.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1724
28,435.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1716
29,450.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1707
30,465.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1698
31,480.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.169
32,495.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1682
33,510.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1674
34,525.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1731
35,540.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1728
36,555.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1725
37,570.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1721
38,585.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1716
39,600.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1711
40,615.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1705
41,630.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1698
42,645.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.169
43,660.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.168
44,675.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1669
45,690.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1759
46,705.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1705
47,720.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1695
48,735.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1682
49,750.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1667
50,765.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1649
51,780.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1631
52,795.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1609
53,810.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1582
54,825.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1721
55,840.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1716
56,855.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1709
57,870.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1701
58,885.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.169
59,900.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1677
60,915.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1658
61,930.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1632
62,945.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1592
63,960.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1526
64,975.0,3,0,0.0,1,"{""CONFIRMED"": 1}",1,-0.1408
