cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,status_counts,n_resolved_tracks,best_resolution_score
32,495.0,38,1,28.47,7,"{""PROVISIONAL"": 6, ""DISSIPATING"": 1}",0,
33,510.0,38,2,30.82,7,"{""PROVISIONAL"": 5, ""CANDIDATE"": 1, ""DISSIPATING"": 1}",0,
34,525.0,38,1,32.08,7,"{""PROVISIONAL"": 5, ""CONFIRMED"": 1, ""DISSIPATING"": 1}",1,-0.1699
35,540.0,37,1,33.69,7,"{""PROVISIONAL"": 5, ""GROWING"": 1, ""DISSIPATING"": 1}",1,-0.1409
36,555.0,37,1,35.8,7,"{""PROVISIONAL"": 5, ""GROWING"": 1, ""CLOSED"": 1}",1,-0.1307
37,570.0,36,1,50.63,6,"{""PROVISIONAL"": 5, ""GROWING"": 1}",0,
38,585.0,36,1,54.54,6,"{""PROVISIONAL"": 5, ""GROWING"": 1}",0,
39,600.0,36,1,60.17,6,"{""PROVISIONAL"": 4, ""GROWING"": 1, ""CLOSED"": 1}",0,
40,615.0,36,1,65.35,5,"{""PROVISIONAL"": 4, ""GROWING"": 1}",0,
41,630.0,35,1,65.36,5,"{""PROVISIONAL"": 4, ""PEAK"": 1}",0,
42,645.0,35,1,65.36,5,"{""PROVISIONAL"": 4, ""PEAK"": 1}",0,
43,660.0,35,1,65.36,5,"{""PROVISIONAL"": 4, ""PEAK"": 1}",0,
44,675.0,35,1,65.36,5,"{""PROVISIONAL"": 4, ""PEAK"": 1}",0,
45,690.0,35,1,65.36,5,"{""PROVISIONAL"": 4, ""PEAK"": 1}",0,
46,705.0,35,1,65.36,5,"{""PROVISIONAL"": 4, ""PEAK"": 1}",0,
47,720.0,34,1,63.48,5,"{""PROVISIONAL"": 4, ""DISSIPATING"": 1}",0,
48,735.0,33,1,63.48,5,"{""PROVISIONAL"": 4, ""DISSIPATING"": 1}",0,
49,750.0,32,1,63.48,6,"{""PROVISIONAL"": 5, ""DISSIPATING"": 1}",0,
50,765.0,31,1,63.48,6,"{""PROVISIONAL"": 5, ""DISSIPATING"": 1}",0,
51,780.0,31,1,63.48,6,"{""PROVISIONAL"": 5, ""DISSIPATING"": 1}",0,
52,795.0,31,1,71.0,6,"{""PROVISIONAL"": 4, ""GROWING"": 1, ""CLOSED"": 1}",0,
53,810.0,31,1,71.0,5,"{""PROVISIONAL"": 4, ""PEAK"": 1}",0,
54,825.0,31,2,71.0,5,"{""CANDIDATE"": 1, ""DISSIPATING"": 1, ""PROVISIONAL"": 3}",1,-0.1655
55,840.0,31,2,71.0,5,"{""CONFIRMED"": 1, ""DISSIPATING"": 1, ""CLOSED"": 1, ""PROVISIONAL"": 2}",1,-0.1655
56,855.0,30,2,71.0,4,"{""CONFIRMED"": 1, ""GROWING"": 1, ""CLOSED"": 1, ""PROVISIONAL"": 1}",1,-0.1655
57,870.0,30,2,71.0,3,"{""CONFIRMED"": 1, ""PEAK"": 1, ""PROVISIONAL"": 1}",1,-0.1655
58,885.0,30,2,71.0,3,"{""CONFIRMED"": 1, ""GROWING"": 1, ""PROVISIONAL"": 1}",0,
59,900.0,28,1,30.26,3,"{""CONFIRMED"": 1, ""GROWING"": 1, ""PROVISIONAL"": 1}",1,-0.012
60,915.0,28,1,31.59,3,"{""GROWING"": 1, ""CONFIRMED"": 1, ""CLOSED"": 1}",0,
61,930.0,28,1,33.11,2,"{""GROWING"": 1, ""CONFIRMED"": 1}",0,
62,945.0,28,1,34.85,2,"{""GROWING"": 1, ""CONFIRMED"": 1}",0,
63,960.0,28,1,36.84,2,"{""GROWING"": 1, ""CONFIRMED"": 1}",0,
64,975.0,27,1,39.11,2,"{""GROWING"": 1, ""CONFIRMED"": 1}",0,
65,990.0,26,1,41.65,2,"{""GROWING"": 1, ""CONFIRMED"": 1}",0,
66,1005.0,25,1,44.47,2,"{""GROWING"": 1, ""CONFIRMED"": 1}",0,
67,1020.0,25,1,47.52,2,"{""GROWING"": 1, ""CONFIRMED"": 1}",0,
68,1035.0,25,1,48.37,2,"{""PEAK"": 1, ""CONFIRMED"": 1}",0,
69,1050.0,25,1,48.37,2,"{""PEAK"": 1, ""CONFIRMED"": 1}",0,
70,1065.0,23,0,0.0,2,"{""PEAK"": 1, ""CONFIRMED"": 1}",0,
71,1080.0,23,0,0.0,2,"{""PEAK"": 1, ""CONFIRMED"": 1}",0,
72,1095.0,23,0,0.0,2,"{""CONFIRMED"": 1, ""CLOSED"": 1}",0,
73,1110.0,23,0,0.0,1,"{""CONFIRMED"": 1}",0,
74,1125.0,23,0,0.0,1,"{""CONFIRMED"": 1}",0,
75,1140.0,23,0,0.0,1,"{""CONFIRMED"": 1}",0,
76,1155.0,23,0,0.0,1,"{""CONFIRMED"": 1}",0,
77,1170.0,23,0,0.0,1,"{""CONFIRMED"": 1}",0,
78,1185.0,23,0,0.0,1,"{""CONFIRMED"": 1}",0,
79,1200.0,23,0,0.0,1,"{""CONFIRMED"": 1}",0,
